Code,GEN (Open),GEN (Close),OBC (Open),OBC (Close),SC (Open),SC (Close),ST (Open),ST (Close),GEN-PD (Open),GEN-PD (Close),OBC-PD (Open),OBC-PD (Close),SC-PD (Open),SC-PD (Close),ST-PD (Open),ST-PD (Close),
A4109,4433,4960,1690,2088,832,1110,291,358,0,0,0,0,0,0,0,0,0
A4111,2971,4233,1234,1751,746,959,441,476,0,0,0,0,0,0,0,0,0
A4125,3109,4475,1384,1786,564,969,402,453,0,0,0,0,0,0,0,0,0
B4101,910,1719,200,792,29,356,181,216,0,0,110,138,0,0,0,0,0
B4107,354,1107,358,791,232,402,50,244,70,91,0,0,0,0,0,0,0
B4109,701,1609,388,790,215,362,52,96,56,56,0,0,94,94,0,0,0
B4110,2,75,9,52,1,47,6,21,4,4,0,0,16,16,0,0,0
B4111,6,91,11,63,4,37,1,26,0,0,39,44,0,0,0,0,0
B4117,95,987,390,836,166,456,293,413,0,0,0,0,0,0,0,0,0
B4125,92,456,48,190,34,127,14,44,10,18,26,26,0,0,0,0,0
B4128,1516,2138,931,1359,389,780,331,493,95,95,0,0,0,0,0,0,0
B5210,1111,1453,745,973,320,566,372,416,129,129,0,0,0,0,0,0,0
B5219,226,395,271,339,188,246,56,153,0,0,0,0,0,0,0,0,0
B5221,97,264,77,257,69,165,183,192,50,50,0,0,0,0,0,0,0
B5226,516,1592,721,1012,373,643,340,378,60,60,0,0,0,0,0,0,0
B5229,1070,1472,824,994,630,670,443,443,0,0,0,0,0,0,0,0,0
B5234,451,624,262,451,176,193,142,191,36,36,0,0,0,0,0,0,0
B5235,533,698,353,476,16,221,205,225,52,52,0,0,0,0,0,0,0
B5244,2172,2626,1539,1705,782,1056,420,550,0,0,0,0,0,0,0,0,0
B5245,2572,2823,1388,1675,859,925,464,517,0,0,0,0,0,0,0,0,0
B5503,1995,4332,2333,2778,1026,1355,640,641,0,0,0,0,0,0,0,0,0
C4110,3260,4249,1445,1871,715,985,462,503,0,0,0,0,0,0,0,0,0
C4111,3872,4618,1720,2127,458,1119,383,440,124,124,0,0,0,0,0,0,0
C4125,4135,4758,1738,2190,732,1060,387,442,0,0,0,0,0,0,0,0,0
D4107,635,1244,428,915,327,558,147,267,74,74,0,0,0,0,0,0,0
D4109,360,1795,399,821,23,272,12,51,33,33,85,85,0,0,0,0,0
D4110,1,130,44,100,13,57,23,37,2,2,7,7,0,0,0,0,0
D4111,42,270,47,131,10,67,3,17,21,21,29,29,0,0,0,0,0
D4112,437,820,309,406,80,222,83,86,0,0,0,0,0,0,0,0,0
D4117,1010,2184,1129,1486,224,763,146,437,109,109,0,0,0,0,0,0,0
D4125,176,630,92,300,21,140,19,57,40,40,47,47,145,145,0,0,0
D4136,900,1568,622,1198,295,561,263,302,0,0,0,0,0,0,0,0,0
D4139,1897,3707,1331,2270,627,1141,479,608,101,107,0,0,0,0,0,0,0
D5205,1963,3754,1645,2465,1006,1327,492,711,123,123,0,0,0,0,0,0,0
D5210,1388,1845,1005,1195,435,615,332,373,93,93,0,0,0,0,0,0,0
D5216,137,271,130,205,101,138,84,174,15,15,0,0,0,0,0,0,0
D5220,285,440,206,383,119,185,60,129,45,45,0,0,0,0,0,0,0
D5305,326,876,674,895,195,639,324,499,97,97,0,0,0,0,0,0,0
E4110,2318,3414,1321,1508,460,789,433,485,98,98,0,0,0,0,0,0,0
E4111,3032,3982,1401,1814,868,994,262,415,157,157,0,0,0,0,0,0,0
E4125,3245,4174,1337,1858,872,953,343,422,0,0,0,0,0,0,0,0,0
G4101,2004,2598,838,1197,501,528,110,214,34,34,0,0,0,0,0,0,0
G4102,3806,5095,2100,2569,1247,1353,646,654,0,0,0,0,0,0,0,0,0
G4105,3215,4627,1367,2328,1129,1255,647,656,0,0,0,0,0,0,0,0,0
G4107,1183,2247,932,1257,556,722,270,360,136,136,0,0,0,0,0,0,0
G4109,1522,2503,891,1140,302,519,198,219,80,80,0,0,0,0,0,0,0
G4110,241,429,113,303,79,169,4,105,19,19,22,22,0,0,0,0,0
G4111,510,921,151,424,186,254,102,121,54,54,0,0,0,0,0,0,0
G4115,333,729,291,499,62,257,117,166,58,58,0,0,0,0,0,0,0
G4120,2213,2999,1398,1533,697,870,444,451,0,0,0,0,0,0,0,0,0
G4121,1193,1823,516,1124,265,714,315,365,0,0,0,0,0,0,0,0,0
G4122,2102,2917,1304,1545,811,1053,465,514,0,0,0,0,0,0,0,0,0
G4125,748,1098,322,492,148,256,9,90,53,53,0,0,0,0,0,0,0
G4127,2722,3617,1316,1974,740,1166,534,599,0,0,0,0,0,0,0,0,0
G4130,3650,4555,1517,2240,905,1240,357,454,0,0,0,0,0,0,0,0,0
G4133,3154,4139,1412,1947,908,951,326,403,0,0,0,0,0,0,0,0,0
G5101,3828,7069,2727,3868,1357,1734,815,1101,0,0,0,0,0,0,0,0,0
G5201,2649,2913,1178,1312,551,618,275,275,0,0,0,0,0,0,0,0,0
G5203,5271,6008,2657,3064,1309,1428,701,834,0,0,0,0,0,0,0,0,0
G5208,3906,5375,2400,2825,1195,1403,812,845,0,0,0,0,0,0,0,0,0
G5210,2258,2843,1313,1492,756,846,428,474,144,144,0,0,0,0,0,0,0
G5215,2671,3000,1215,1413,543,590,251,272,102,102,0,0,0,0,0,0,0
G5216,444,699,338,489,158,344,188,235,31,31,0,0,0,0,0,0,0
G5222,926,1168,515,555,370,416,93,193,62,62,0,0,0,0,0,0,0
G5225,723,1084,265,611,406,542,75,308,63,63,0,0,0,0,0,0,0
G5230,3020,3513,1543,1768,209,1040,602,602,0,0,0,0,0,0,0,0,0
G5231,3077,3534,1555,1635,1097,1122,438,438,0,0,0,0,0,0,0,0,0
G5239,1116,1494,502,726,264,449,239,311,0,0,0,0,0,0,0,0,0
G5243,3122,3955,1742,2170,1070,1098,589,589,0,0,0,0,0,0,0,0,0
G5247,4559,4872,2196,2432,1252,1330,480,480,0,0,0,0,0,0,0,0,
G5248,4879,5640,2455,2800,1373,1406,867,867,0,0,0,0,0,0,0,0,
G5251,4037,4484,1989,2182,1188,1271,650,658,0,0,0,0,0,0,0,0,
G5253,2748,3653,1870,2081,960,1055,677,677,0,0,0,0,0,0,0,0,
G5501,5159,6199,2846,3565,1461,1662,876,986,0,0,0,0,0,0,0,0,
G5503,5157,6437,3046,3449,1494,1639,873,931,0,0,0,0,0,0,0,0,
G5504,3880,4703,2622,3468,1423,1676,865,952,0,0,0,0,0,0,0,0,
G5505,3722,5661,2868,3553,1232,1742,974,991,0,0,0,0,0,0,0,0,
G5506,1597,3380,1156,1920,858,1297,694,752,0,0,0,0,0,0,0,0,
G5507,3036,4930,2632,3221,1303,1597,912,982,0,0,0,0,0,0,0,0,
H4107,3520,4151,1373,1943,857,1087,408,461,0,0,0,0,0,0,0,0,
H4109,3061,3827,1241,1605,638,793,338,344,166,166,0,0,0,0,0,0,
H4110,1385,2162,306,869,332,527,185,289,0,0,163,163,0,0,0,0,
